,Ê±¼ä,Äê,ÔÂ,ÈÕ,Ð¡Ê±,Ç¿¶È±ê¼Ç,Î³¶È,¾­¶È,Ñ¹Á¦,OWD,¹ú¼Ê±àºÅ,ÆøÐýÐòºÅ,ÆøÐý±àºÅ,ÖÕ½á¼ÇÂ¼,¼ä¸ôÐ¡Ê±Êý,Ó¢ÎÄÃû³Æ,½µÓêÁ¿,¼¾½Ú,½µÓêÁ¿µÈ¼¶,form_dt,dispear_dt,peak_dt,lifespan,path_length,impact_area
0,2012-02-14 18:00:00,2012,2,14,18,1,7.9,130.2,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
1,2012-02-15 00:00:00,2012,2,15,0,1,8.9,128.4,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
2,2012-02-15 06:00:00,2012,2,15,6,1,9.600000000000001,127.2,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
3,2012-02-15 12:00:00,2012,2,15,12,1,10.2,125.8,1006,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
4,2012-02-15 18:00:00,2012,2,15,18,1,11.0,124.5,1006,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
5,2012-02-16 00:00:00,2012,2,16,0,1,10.5,123.0,1006,13,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
6,2012-02-16 06:00:00,2012,2,16,6,1,9.8,121.7,1006,13,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
7,2012-02-16 12:00:00,2012,2,16,12,1,9.5,120.4,1006,13,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
8,2012-02-16 18:00:00,2012,2,16,18,1,9.5,118.8,1006,13,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
9,2012-02-17 00:00:00,2012,2,17,0,1,9.5,117.0,1006,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
10,2012-02-17 06:00:00,2012,2,17,6,1,9.8,115.5,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
11,2012-02-17 12:00:00,2012,2,17,12,1,9.8,114.1,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
12,2012-02-17 18:00:00,2012,2,17,18,1,10.0,113.3,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
13,2012-02-18 00:00:00,2012,2,18,0,1,10.2,113.0,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
14,2012-02-18 06:00:00,2012,2,18,6,1,10.3,112.8,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
15,2012-02-18 12:00:00,2012,2,18,12,1,10.5,112.6,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
16,2012-02-18 18:00:00,2012,2,18,18,1,10.6,112.4,1004,16,0,1,0,0,6,1,0.0,¶¬,1,2012-02-14 18:00:00,2012-02-21 06:00:00,2012-02-14 18:00:00,561600.0,2431.72052981427,201113.72600651134
